Départ;Arrivé;Train;Société;Classe;Date;Année;Heures;Minutes;Distance (km);CO2 (kg);Prix (€)
Paris Montparnasse;Vannes;TGV;INOUI;2;01/06/2024;2024;2;35;459.0;1;69.0
Le Mans;Paris Montparnasse;TGV;INOUI;2;09/06/2024;2024;0;59;204.0;0;46.0
Paris Austerlitz;Bayonne;Intercité Nuit;SNCF;2;28/06/2024;2024;9;1;767.0;4;53.0
Bayonnes;Hendaye;TER;SNCF;2;29/06/2024;2024;0;39;40.0;1;4.5
Belfort-Monbéliard LGV;Paris gare de Lyon;TGV;INOUI;1;01/11/2024;2024;2;43;434.0;1;65.0
Paris Gare du Nord;Lille Europe;TGV;INOUI;2;08/11/2024;2024;1;12;224.0;0;42.0
Lille Flandres;Valenciennes;TER;C60;2;09/11/2024;2024;0;46;51.0;1;7.7
Valenciennes;Paris Gare du Nord;TGV;INOUI;2;11/11/2024;2024;1;52;203.0;0;25.0
Paris gare de Lyon;Belfort-Monbéliard LGV;TGV;INOUI;1;16/11/2024;2024;2;28;434.0;1;49.0
Paris gare Saint Lazarre;Caen;TER;SNCF;2;30/11/2024;2024;1;54;234.0;6;22.4
Caen;Paris gare Saint Lazarre;TER;SNCF;2;01/12/2024;2024;1;55;234.0;6;22.4
